sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.01,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.01,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.01,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.01,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.01,2,0,2,20.0,,20.0,29.0,0.96,1.92,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
8.01,3,0,3,360.0,,360.0,931.0,0.3,2.82,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
9.01,4,1,3,520.0,50.0,676.67,1699.0,0.455,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
10.01,7,1,6,724.29,1980.0,515.0,1977.0,0.1171,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
11.01,24,11,13,411.25,258.18,540.77,1998.5,0.575,19.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
12.01,20,7,13,798.5,605.71,902.31,2015.5,-0.041,18.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
13.01,12,4,8,496.67,162.5,663.75,1923.5,0.4383,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
14.01,16,7,9,1029.38,1194.29,901.11,4582.5,0.1487,26.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15.01,8,4,4,765.0,930.0,600.0,1836.5,0.0925,26.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.01,10,4,6,30.0,45.0,20.0,50.0,0.94,36.22,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2
17.01,22,7,15,281.82,401.43,226.0,996.5,0.4409,45.92,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,6
18.0,7,2,5,824.29,795.0,836.0,1037.0,-0.6114,41.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
19.0,18,10,8,491.67,425.0,575.0,2000.0,0.4589,49.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
20.0,14,7,7,343.57,117.14,570.0,1351.0,0.5729,57.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
21.0,14,6,8,177.14,211.67,151.25,553.5,0.6457,66.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
22.0,5,1,4,434.0,550.0,405.0,942.0,0.148,67.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
23.0,5,3,2,1028.0,866.67,1270.0,2008.0,-0.252,66.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,7,3,4,24.29,30.0,20.0,37.0,0.9514,73.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
25.0,24,11,13,179.17,130.91,220.0,548.5,0.6417,88.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
26.0,0,0,0,,,,,,88.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
27.0,4,1,3,472.5,40.0,616.67,1544.5,0.46,90.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
28.0,32,17,15,194.06,193.53,194.67,554.5,0.6119,109.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
29.0,5,2,3,238.0,300.0,196.67,558.0,0.524,112.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
30.0,7,3,4,435.71,213.33,602.5,1446.0,0.3657,115.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
31.0,1,0,1,540.0,,540.0,540.0,-0.08,115.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32.0,1,0,1,1530.0,,1530.0,1530.0,-1.0,114.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,7,4,3,182.86,172.5,196.67,557.0,0.6343,118.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,22,10,12,123.64,144.0,106.67,549.5,0.7527,135.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
35.0,13,7,6,426.92,405.71,451.67,1034.0,0.1569,137.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,6,1,5,110.0,40.0,124.0,415.0,0.78,141.74,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2
37.0,10,5,5,383.0,340.0,426.0,1005.5,0.236,144.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
38.0,12,4,8,388.33,35.0,565.0,1665.0,0.45,149.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
39.0,5,2,3,324.0,25.0,523.33,1230.0,0.564,152.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40.0,11,4,7,72.73,35.0,94.29,295.0,0.8545,161.72,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3
41.0,13,5,8,453.08,538.0,400.0,1030.0,0.1092,163.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
42.0,9,5,4,261.11,246.0,280.0,550.0,0.4778,167.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43.0,7,4,3,182.86,172.5,196.67,557.0,0.6343,171.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44.01,19,9,10,112.11,97.78,125.0,551.0,0.7758,186.62,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3
45.01,10,4,6,434.0,287.5,531.67,1089.0,0.238,189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
46.01,1,0,1,540.0,,540.0,540.0,-0.08,188.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.01,27,16,11,108.15,104.38,113.64,547.0,0.7837,210.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
48.01,9,4,5,374.44,422.5,336.0,560.0,0.2511,212.34,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
49.01,1,0,1,540.0,,540.0,540.0,-0.08,212.26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
50.01,1,0,1,1810.0,,1810.0,1810.0,-1.0,211.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.01,3,1,2,26.67,40.0,20.0,39.0,0.9467,214.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
52.01,16,9,7,157.5,150.0,167.14,550.0,0.685,225.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53.01,15,7,8,165.33,182.86,150.0,550.0,0.6693,235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
54.01,15,8,7,205.33,171.25,244.29,553.0,0.5893,243.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
55.01,9,4,5,146.67,172.5,126.0,556.0,0.7067,250.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
56.01,8,4,4,288.75,297.5,280.0,550.0,0.4225,253.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
57.01,20,9,11,156.0,147.78,162.73,550.0,0.688,267.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
58.01,17,7,10,211.76,188.57,228.0,550.0,0.5765,277.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
59.01,12,5,7,240.83,238.0,242.86,550.0,0.5183,283.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
60.01,3,2,1,3600.0,3605.0,3590.0,3609.0,-1.0,280.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
